Term,Description
Data custodian,"Agencies or individuals responsible for managing the  use, disclosure and  protection of source data used to create  health  indicators. Data custodians collect  and hold information on behalf of a data  provider or data steward (34)."
Data element,The smallest named item of data that  conveys meaningful information (35).
Data governance,"The specification of decision rights and an  accountability framework to ensure the  appropriate behaviour in the  valuation,  creation, consumption and control of  data and  analytics. The  rules, processes  and behaviours related to the  collection,  management, analysis, use, sharing and  disposal of personal  and/or  non-personal  data (28,36)."
Data harmonization,"All efforts to combine data from different  sources and provide users with a  comparable view of data from different  studies or  surveys. This is sometimes  referred to as data integration (37).Data information pyramid A schematic way of looking at the number  of data items to be collected at each level  of the health system allowing each level to  gather data of importance and relevance  to their daily work while avoiding  excessive data collection where no action  is taken. The pyramid illustrates how  most data are collected at the base of the  pyramid in the health  facility, where most  health service action takes  place. Data  are processed, filtered, and streamlined  as data sets that are then passed up the  health system (38)."
Data inputs,"All numerical inputs to mathematical  or statistical models that are used to  generate global health  estimates. Model  inputs may include raw health  data,  processed health  data, covariates and  other parameters (24)."
Data integration,"A process that merges multiple health  data sources into a  single, unified  dataset.  It involves combining data residing in  different sources and providing users with  a unified view of them (28,39,40)."
Data integrity,"The extent to which all data are  complete,  consistent and accurate and are protected  from deliberate bias or manipulation for  political or personal reasons (41,42)."
Data life cycle,"The main steps of the data life  cycle include data  collection, entry  and  recording, storage, processing  and  analysis, presentation  and  visualization, interpretation,  sharing and  dissemination, retention  and  archiving, maintenance and  quality  assurance, and disposal (43,44).A"
Data privacy,"The rights and practices that ensure  individuals have control over how their  personal information is  collected, used,  shared and  maintained. It focuses on  protecting personal data from misuse and  ensuring that individuals can determine  who has access to their  data, how it  is used, and for what purposes (45)."
Data provider,"Individuals and organizations who are responsible, whether formally  or informally, for making data accessible  to others. Sometimes a data provider may  be simply the producer of those  data. In  other  cases, data may be deposited in  a repository, centre or archive that has  the responsibility of disseminating the  data (46)."
Data standards,"The rules for structuring information  that has been  collected, and which  facilitate semantic  interoperability. A set  of agreed data standards ensures that  the data entered into a system can be  reliably  read, sorted, indexed, retrieved  and communicated between  systems.  For example, length of a  field, format,  the encoding of the  information, and  permissible values (47)."
Data type,"Defines the form of a data  element.  These can include simple data types such  as date, time, numeric value or complex  data  types, such as addresses (48)."
Data quality,"Data quality is a set of standards  that data should reach to be  usable.  Quality data must encompass the  following  characteristics: relevance,  credibility, accuracy, timeliness,  punctuality, methodological  soundness,  coherence and accessibility (2).Data quality assessment The analysis or evaluation of data to  determine its  accuracy, completeness,  consistency, and other quality attributes  based on predefined  criteria. This process  helps identify issues and areas for  improvement in the current state of data  quality (49)."
Data quality assurance,"The process of assessing and improving  the quality of each data stream to ensure  the overall quality of health data or health  statistical  products. Data quality assurance  aims to ensure that the final data meets  the required standards for  accuracy,  consistency and reliability (49)."
Data security,"Appropriate  organizational, physical and  technical security measures implemented  for both electronic and paper data to  protect the security and integrity of  personal  data, including against personal  data  breach, and to ensure its continued  availability for the purposes for which the  personal data are processed (31)."
Data source,"From where data are obtained (e.g.  their origin such as the location setting  and provider of the  data). For  example,  routine health information  systems,  civil registration and vital  statistics,  population-based  surveys, health  facility  surveys) (50,51)."
Data steward,"Subject-matter experts who facilitate the  use of data assets by all who need  them,  within the guardrails of relevant  policy,  and manage  exceptions. Data assets do  not belong to data stewards  themselves,  but they are responsible for taking care of  them (28,52).A Z6"
Data stewardship,"A collection of functions and practices  that ensure all data and statistics of an  organization are  accessible, usable, safe  and trusted (52,53)."
Data triangulation,"Approach for critical synthesis of data from  two or more sources to address relevant  questions for programme planning  and  decision-making (54,55)."
Death registration data,"Data collected during the civil registration  of a  death, including cause of  death, sex,  occupation, etc. (11)."
Death registration desk,"A desk or office that receives death   notification, validates information and  enters it into a civil registration system (11)."
Denominator,"The lower portion of a  fraction; that is  the number below the horizontal bar  of a  fraction. It is used to  calculate,  for example, rates, ratios and  percentages.  In a  rate, the denominator is usually the  population (or population  experience, as  in person-years, etc.) at risk (5)."
Descriptive analysis,"A statistical method utilized to summarize  and elucidate the primary features of  a dataset. This approach allows for a  clear understanding of the fundamental  characteristics of the data without drawing  inferences or making predictions (56,57)."
Digital health,"The systematic application of information  and communication  technologies,  computer  science, and data to support  informed  decision-making by  individuals,  the health workforce and health  systems,  in order to strengthen resilience to disease  and improve health and wellness (58).Disability adjusted life years (DALYs) Represents the loss of the equivalent of one  year of full  health. For a disease or health  condition it is the sum of the years of life  lost to due to premature mortality (YLLs)  and the years lived with a disability (YLDs)  due to prevalent cases of the disease or  health condition in a population (59)."
Disaggregation,"Breaking down of observations to a  more detailed level when finer details  are required and made possible by the  codes given to the primary  observations.  In health this often  includes, sex, age,  wealth  quintile, education  level, place of  residence and occupation (23)."
Disease surveillance system,"The infrastructure for ongoing systematic  collection, analysis, storage  and interpretation of  outcome-specific  disease data for use in  planning,  implementing and evaluating public  health policies and practices (60)."
Domain,"Categorization of  health-related indicators  into general  groupings. For  example,  health  status, risk  factors, service coverage  and health systems (21)."
Ecological analysis,"Ecological analysis is a research  methodology that investigates the  relationships between different factors  and health outcomes or other phenomena  at the group  level, rather than focusing  on individuals. This approach entails  analysing data gathered from populations  or communities to uncover  patterns,  disparities, correlations, and possible  causal relationships (17).A"
Ecological fallacy,An erroneous inference that may occur  because an association observed between  variables on an aggregate level does  not necessarily represent or reflect the  association that exists at an individual  level;  a causal relationship that exists on a group  level or among groups may not exist among  the group individuals (17).
Effective coverage,"The proportion of individuals experiencing  optimal health gains from a service  among those who need the  service. It is  the fraction of potential health gain that  is actually delivered to the population  through the health  system, given its  capacity (8,61,62)."
Effect size,"Refers to the magnitude of the expected  difference between two groups in a  study,  which is expressed as an  estimate. It is a  crucial factor in determining the sample  size needed for a  study, with a smaller  effect size requiring a larger sample size  for detection (63)."
Estimation method,"The steps taken to generate  health  estimates. An explanation of the  method should include how the indicator  is calculated, including mathematical  formulas and descriptive information  of computations made on the source  data to produce the estimate (including  adjustments and  weighting). Reporting  on methods used should align with the  Guidelines for accurate and transparent  health estimates reporting  (GATHER) (24)."
Evaluation,"A process that attempts to determine as  systematically and objectively as possible  the relevance, effectiveness and impact of  activities in light of their objectives (21).Event-based surveillance The organized and rapid capture of  information about incidents that are  a potential risk to public  health. This  information can be rumours and other  ad hoc reports transmitted through  formal channels (i.e. established  routine reporting  systems) and informal  channels (i.e. media, health workers  and nongovernmental  organizations’  reports) (64)."
External consistency of data,"An assessment of the level of agreement  between two sources of data measuring  the same health  indicator. The two sources  of data that are usually compared are  data flowing through health management  information systems or a  programme- specific information  system, and data from  a periodic  population-based survey (13)."
External responsiveness,Reflects the extent to which change in a  measure relates to corresponding change  in a reference measure of clinical or health  status (65).
Feasibility,Refers to the availability of data to  measure the  indicator. If the data is  available from existing health data at  a reasonable cost  and/or will not add  additional burden to collect data  (66).
Focal point,The designated person to respond on  behalf of a Member State or technical  group during data collection or country  consultation process (67).
Gender,"Refers to the characteristics of  women,   men, girls and boys that are socially    constructed. This includes  norms,  behaviours and roles associated with  being a  woman, man, girl or  boy, as  well as relationships with each  other. As  a social  construct, gender varies from  society to society and can change over  time (68)."
Geocoding,"The process of transforming a description  of a location – such as a pair of  coordinates,  an address, or the name of a  place-to a  location on the  earth’s surface (69)."
Geo-enablement,To apply geospatial capabilities to a  business process in order to establish the  authoritative spatial location of business  data and enable contextual spatial  analysis (70).
Geographic accessibility,"Geographic area and population living  within it covered by a facility (e.g.  health  facility, school, etc.), calculated  using mode of transportation (71)."
Geographic information systems,"A computer system that  creates, manages,  analyzes, and maps all types of spatial  data (72)."
Geospatial analysis,"Geospatial analysis is the use of  geographic information systems and  geospatial data to  measure, examine and  visualize spatial  patterns, relationships  and  trends. Often includes statistical  methods  and/or artificial intelligence (73).Geospatial data Information describing the location and  attributes of  objects, events or other  features on the  earth’s surface (70,74)."
Global Health Observatory,"The WHO global database for health  and  health-related  indicators, presenting  the latest available data at  global, regional  and national  levels. This database is the  WHO gateway to  health-related  statistics,  providing access to over 1000 indicators on  priority health topics including mortality  and burden of diseases (75)."
Global health estimates,"WHO estimates on death and  disability  globally, by region and  country,  available by  age, sex and  cause. These  provide key insights on mortality and  morbidity trends and are a powerful tool  to support informed  decision-making on  health policy and resource allocation (76)."
Gold standard,"A method, procedure or measurement  that is widely accepted as being the best  available to test for or treat a disease or  condition (77)."
Granularity,Granularity is the level of detail of the  data (78).
Health and demographic surveillance system,"Longitudinal data collection platforms that track  births, deaths, migrations and  socioeconomic and health circumstances  over time in established geographic  areas (79).A"
Health data,"Raw, unprocessed  numbers, measurements, that relate directly to  the health and  well-being status of an  individual or to the health services that the  individual receives (23,80)."
Health estimates,"Quantitative  population-level estimates (including  global, regional,  national or subnational  estimates) of  health  indicators, including indicators of  health status such as estimates of total  and  cause-specific  mortality, incidence  and prevalence of  diseases, injuries and  disability and  functioning; and indicators  of health  determinants, including health  behaviours and health exposures (24)."
Health facility census,Periodic enumeration of all public and  private healthcare facilities within a  country about the facilities and the  services they provide (81).
Health facility survey,"Periodic enumeration of a representative  sample of public and private health care  facilities within a  country, providing  information about the facilities and the  services they provide (81)."
Health impact assessment,"A combination of  procedures, methods  and tools by which a  policy, programme,  product or service may be judged  concerning its effects on the health of the  population and the distribution of those  effects within the population (82)."
Health indicator,"A measurable quantity that can be used  to describe a  population’s health or its  determinants (23,24).Health inequality A measured difference in health between  population  subgroups. Health inequalities  can be measured and monitored (83)."
Health inequality,A measured difference in health between population subgroups. Health inequalities can be measured and monitored (83).
Health inequity,"Unfair, avoidable or remediable differences in health among groups  of people. In some  cases, the absence  of a difference between groups  (that  is, a situation of  equality) might be  considered  inequitable. Health inequity  is rooted in the unfair distribution  of,  and access  to, power, wealth and other  social  resources, and is linked to forms of  disadvantage that are socially  produced,  such as  poverty, discrimination and lack of  access to services or goods (83)."
Health information system,"A system that collects data from health  and other relevant  sectors, analyses the  data and ensures their overall  quality,  relevance and  timeliness, and converts  the data into information for  health- related  decision-making. It has four  key functions: (i) data  generation; (ii)  compilation; (iii) analysis and  synthesis;  and (iv) communication and  use. A solid  health information system will be capable  of generating reliable data from  hospitals,  outpatients, reportable diseases  registries,  surveys, civil registration and vital  statistics and other relevant data for health"
Health management information,"system An information system specially designed  to support  planning, management  and  decision-making in health facilities  and organizations (85,86).A Z10"
Health survey,"A survey that is designed to gather  information about health (physical  and  mental) and  health-related  factors.  Health surveys generally include measures  of risk  factors, health  behaviours, and  non- health determinants or correlates of  health such as socioeconomic  status. The  range of measures that can be included  is wide and varies by  survey. Age, sex/ gender and  race/ethnicity are the basic  demographic variables that are included  in health  surveys. Socioeconomic  determinants of health include  education,  income, geographic region and  rural/ urban residence (87)."
Healthy life expectancy at birth,Average number of years that a person can  expect to live in ‘full  health’ by taking into  account years lived in less than full health  due to disease  and/or injury (88).
Heaping of data,"A measure of the tendency of respondents  to report numerical values using preferred  numbers or specific intervals when  providing  estimates, such as age of  disease diagnosis or date of events (e.g.  birthweights reported on 2000g or  2500g)  or rounded (i.e. ending in ‘00’ or ‘50’) (89)."
Home-based record,"A health document used to record the  history of health services received by  an individual. It is kept in the  household,  in either paper or electronic  format, by the  individual or their caregiver and is intended  to be integrated into the health information  system and complement records  maintained by health facilities (90).I"
Impact indicator,"Measures the ultimate objective that  programmes are designed to  affect, such  as decreases in mortality and  morbidity.  Sometimes referred to as  long-term  outcome (21,50)."
Imputation,A method for retaining the majority  of the  dataset’s data and information  by substituting missing data with an  inferred value (91).
Incidence rate,A new event or case of a disease (or a  death or other health  condition) that  occurred in a specified time period divided  by the population at risk for the event in  that time period (23).
Indicator-based surveillance,"Routine reporting of cases of a defined list  of diseases, including notifiable disease  surveillance  systems, sentinel  surveillance,  and  laboratory-based  surveillance."
Indicator-based surveillance commonly,comes from health care facilities and can  be regularly reported (64).
Indicator classification,"The level of measurement provided by  the indicator; this can be one of five levels  starting with input (lowest) and moving  through  process, output, outcome and  finally impact (highest) (21)."
Indicator definition,"How the indicator is  measured,  including  numerators, denominators,  data type and disaggregation in  common  use. The indicator definition  should be unambiguous and be expressed  in universally applicable terms (23,92).A"
Individual health record,"Files or a document that contain  diagnoses and  treatment, medications,  allergies, immunizations, as well as  radiology images and laboratory results  for an  individual. These records contribute  to tracking a  patient’s medical  history.  They are generally kept in a health  facility,  in either paper or electronic format (93)."
Input indicator,"Measures human and financial  resources,  physical  facilities, equipment and  operational policies that enable  programme activities to be  implemented.  This includes health  financing,  health  workforce, health  infrastructure,  and health information and  governance (21,50)."
Interaction,When the relationship between two  variables depends on the value of another  variable (17).
Internal consistency of data,"A measure based on the correlations  between different items on the same  test or  survey. It measures whether  several items that propose to measure  the same general construct produce  similar scores or  results. For  example, if a  respondent answered “Do you consider  yourself  healthy?” as  yes, and then in the  same survey answered “Do you consider  yourself  unhealthy?” as  no, that is good  internal consistency (94)."
Internal responsiveness,Characterises the ability of a measure  to change over a prespecified time  frame (65).
International Classification of Diseases (ICD),"A structured translation of each medical  condition into an alphanumeric  code,  which allows for the  harmonization and  comparison of mortality statistics across  time and  locations. ICD is a gold standard  coding system for reporting cause of death  data (10)."
International Health Regulations,"It is an instrument of international law  that is  legally-binding on 196  countries,  including the 194 WHO Member  States.  The International Health Regulations grew  out of the response to deadly epidemics  that once overran  Europe. They create  rights and obligations for  countries,  including the requirement to report public  health events (95)."
Interoperability,"The ability of different applications  to access, exchange, integrate and  use data in a coordinated manner  through the use of shared application  interfaces and  standards, within and  across  organizational, regional and  national  boundaries, to provide timely and  seamless portability of information and  optimize health outcomes (58)."
Intervention coverage,"People receiving a specific service  (i.e. treatment, care, activity to  improve  health) among those who need  it.  It requires a  well-defined service that can  be measured, and precise measurement of  the population in need of that service (96)."
Joint external evaluation,"Voluntary, collaborative, multisectoral process to assess country capacities  to prevent, detect and rapidly respond to  public health risks (97).A Z12"
Kappa statistic (K),A statistical measure of  inter-rater  reliability for categorical variables (98).
Linkage,"The process of combining data from  different sources that relate to the same  person to create a  new, enhanced data  resource (99)."
Logic model,"A diagram that identifies and  illustrates the linear relationships from  programme  inputs, processes, outputs,  and outcomes to the impact (100,101)."
Master facility list,"The  unique, complete, up-to-date and  uniquely coded list of all the active and  prior health facilities in the country  that are officially curated by the  mandated  agency. At a  minimum, the list  includes a unique  ID, location, type, and  name of each facility (103)."
Mean,The average of a set of values (103).
Measure,"A standard unit used to express the  size,  amount, or degree of something (23)."
Measurement,"Refers to the  extent, dimension, quantity,  etc. of an attribute (23).Measurement level The specific setting that the indicator is  designed to  measure/monitor (e.g. global,  national, subnational, facility, household,  community, school) (21,23,50)."
Measurement method,How the data from data sources  are used; this can be process or other  types of analyses that make use of the  indicator (104).
Median,"Middle point of a set of ordered  numbers;  half of the values are higher than  the median, and half of the values are  lower (17). Medical certification of cause of death Describes the process of accurately  identifying the sequence of events that  lead to  death. It includes also recording  of causes that contributed to death but  were not part of the sequence that led to  death (10)."
Metadata,Data that define or describe other  data.  They are the information needed to  explain and understand the indicator or  values being presented (105).
Method of aggregate estimation,"Description of the  methodology, including  any mathematical  formulas, used for  the calculation of the  regional/global  aggregates from country values (106)."
Microdata,"Microdata are  unit-level data obtained  from sample  surveys, censuses and  administrative  systems. They provide  information about characteristics  of individual people or entities such  as households, business  enterprises,  facilities, farms or even geographical areas  such as villages or towns (107).A"
Monitoring,The systematic and routine collection of  information to assess performance and  progress towards specific targets and over  an established period of time (108).
Monitoring and evaluation (M&E),"framework A structured and systematic tool used in  project management and programme  implementation to assess  performance,  measure  outcomes, and ensure  the achievement of  objectives. It  consists of several core  components,  including clear project  objectives,  key performance  indicators, data  collection  methods, data  sources,  and  responsibilities. It defines how data  will be  collected, analysed and  reported,  ensuring that the project or programme  remains on track (100,101)."
Morbidity data,The information registered on the state of  being symptomatic or unhealthy due to a  disease or  health-related condition (110).
Mortality coder,The trained person that registers medical  conditions and events reported in Medical  Certificate of Cause of Death forms to  determine the underlying cause of death  and assign mortality codes using ICD rules  and principles (10).
Mortality data,Information on the number of deaths  caused by an event or illness in a specified  time  period. Measuring how many people  die each year and why they have died  is one of the most informative ways of  assessing the effectiveness of a  country’s  health  system. These data allow health  authorities to evaluate how they prioritize  public health programmes (10).N
National health strategic plan,"A plan that includes a set of priorities  and activities to achieve key milestones  that will have impact beyond the  health  sector. It includes  medium-  and  long-term expected  outcomes,  and concrete and realistic allocation  of resources to implement the  activities within clear  timing. The plan  concretizes  priorities; keeps focus  on medium- and  long-term goals without  deviating from an optimal  path. It  integrates the health  sector; helps focus  the policy dialogue on health  priorities;  and guides operational  planning, resource  allocation and health sector monitoring  and evaluation (110)."
Government agency or institution,"responsible for  collecting, analysing, using  and disseminating statistical data related  to a country (111)."
Nationally representative,"A survey or surveillance system that will  use design methods and standardized  criteria scalable to national context using  a sub-sample that represents the target  population in terms of  age, sex, urban/ rural and other categories of interest (112).A Z14"
Negative predictive value,The probability that following a negative  test result a given individual will truly not  have that specific  disease. It is defined as  the number of true negatives (people who  test negative who  don’t have a  condition)  divided by the total number of people who  test negative (113).
Notifiable conditions,"A disease  that, when  diagnosed, requires  health providers (usually by  law) to  report to  national, state or local public  health  officials. Notifiable diseases  are of public interest due to reasons  including their  contagiousness, severity or  frequency (114)."
Null hypothesis,The claim that the effect being studied  does not  exist. It can also be described as  the hypothesis in which no relationship  exists between two sets of data or  variables being analysed (115).
Numerator,Count of values captured by the indicator  in a specified  population. The upper  portion of a fraction used to calculate a  rate or ratio (5).
Odds ratio,"A measure of association between an  exposure and an  outcome. It represents  the odds (or  probability) that an outcome  will occur given a particular  exposure,  compared to the odds of the outcome  occurring in the absence of that  exposure.  The numerator is the proportion of the  event of  interest, and the denominator is  the proportion of the  non-event (23)."
Outcome-adjusted coverage,"The proportion of a population that  benefits from an intervention after  considering the quality or effectiveness  of the  intervention. In this  measure,  coverage is not just about access to  services but also reflects whether the  intervention had a positive health  impact. It adjusts traditional intervention coverage estimates by incorporating the  actual outcomes of the health services  provided (8)."
Outcome indicator,"Measures whether the programme is  achieving the expected  effects/changes  in the  short, intermediate and long  term,  such as changes in intervention coverage  or health-related  behaviours. Some  programmes refer to their  longest-term/ most distal outcome indicators as impact  indicators (21)."
Output indicator,"Measures the immediate products provided or services delivered as a  result of the processes conducted in a  programme or  project, such as number  of persons  trained, number of children  vaccinated (21,116)."
Percentage,Number or ratio that can be expressed as a  fraction of 100 (117).
Periodicity,"Data can be compiled continuously in  systems such as civil  registries, cancer  registries and surveillance systems  of reportable  diseases. Data can also  be compiled  periodically, which is  to say at regular intervals or without  predefined  periodicity, and at a particular  point in time (23).A"
Population attributable fraction,The proportional reduction in population  disease or mortality would occur if  exposure to a risk factor were reduced to  an alternative ideal exposure  scenario. The  number of deaths and DALYs attributed  to a risk factor is quantified by applying  the population attributable fraction to the  total number of deaths or the total burden  of disease (118).
Descriptive  cross-sectional,"epidemiological study that is useful for  calculating the prevalence of  self-reported  events or events measured during  the investigation, generally employing  a representative sample from the  population of interest (23)."
Population census,"Is the total process of  planning, collecting,  compiling, evaluating, disseminating and  analysing  demographic, economic and  social data at the smallest geographic  level  pertaining, at a specified  time, to all  persons in a country or in a  well-delimited  part of a country (119)."
Positive predictive value,"Is the probability that following a positive  test  result, a given individual will truly  have that specific  disease. It is defined as  the number of true positives (people who  test positive and have a  condition) divided  by the total number of people who test  positive (113)."
Predictive validity,"The degree to which predictions are  confirmed by facts expressed in terms  of its ability to predict future outcomes  or events. Predictive validity is often used  for impact indicators (25).Preferred data sources The recommended source of data  for a specific health  indicator. This  can include: civil registration and  vital statistics  systems; surveillance;  national  population-based  surveys;  routine facility information  systems;  health facility  assessments; administrative  data  sources; human resources  information  systems; laboratory  information systems (50,51)."
Prevalence rate,Is the proportion of people in a population  who have a particular disease or attribute  at a point in time or over a specified period  of time (120).
Primary data,"Data that are gathered  first-hand for a  specific  purpose. Data are reported as  is,  or with modest adjustment (121)."
Process indicator,"Measures a  programme’s  activities. This  indicates whether the programme is  being implemented as planned (e.g.  health workforce  training, constructing a  health  facility, the process of registering  births and  deaths) (21,116)."
Process of validation,A description of how the indicator was  validated to assess how accurately it  measures what it is intended to  do. This  glossary includes some methods for  validation (122).
Processed health data,"Health statistics that have been  calculated from raw health  data, but are  not the result of synthesizing multiple  data  sources. Examples of processing  raw health data include cleaning data by  removing implausible  values, calculating  an indicator with an  algorithm, or  adjusting a statistic for bias (24).A Z16"
Proportion,"The  size, number or amount of one thing  or group as compared to the  size, number  or amount of  another, when the numerator  is a subset of the denominator (23)."
Proxy health indicator,An indicator that stands in for another  indicator or topic that is difficult to  measure or for which data are limited (83).
Public health surveillance system,"Is the system that systematically  collects,  analyses, and interprets  health- related data essential to  planning,  implementation and evaluation of public  health practice (123)."
Publicly available,"Information in any form that is  generally  accessible, without  restriction, to  the public (124)."
Punctuality,The time lag between the release date of  data and the target date on which they  were scheduled for release as announced  in an official release calendar (2).
P value,The probability that a statistic would be as  extreme as or more extreme than observed  if the null hypothesis were true (17).
Quality-adjusted coverage,"An assessment metric that evaluates how  effectively a health intervention reaches a  target population and the quality of care  that is  provided. This measure combines  intervention coverage rates with quality  measures to better understand the overall  impact of health programmes (8,125,126).R"
Rate,"An expression of the frequency with which  an event occurs in a defined  population,  usually in a specified period of  time. The  components of a rate are the  numerator,  the denominator, the specified time  in which events  occur, and usually  a multiplier, that converts the rate from  a fraction or decimal to a whole  number.  The numerator is the absolute number of  occurrences of the event being studied  in a specified  time. The denominator is  the reference population (or population  being  studied) at the same time (17,23)."
Ratio,"The result of dividing one quantity by  another without regard for details such as  a time  dimension. Rates, proportions and  percentages are all types of  ratios. The  distinction between a proportion and a  ratio is  that, whereas the numerator of a  proportion is included in the population  defined by the  denominator, this is not  necessarily so for a  ratio, which expresses  the relationship of two separate and  distinct  quantities, neither of which is  included in the other (17)."
Rationale,Importance of the indicator for public  health response (127).
Raw health data,"Measurements derived from primary data collection with no adjustments or  corrections (23,80)."
Record linkage,The methodology of bringing together  corresponding records from two or more  files or finding duplicates within files (128) .A
Registrar,The official authorized by law to  register the occurrence of vital events  and to represent the legal authority of  government in the field of civil registration
Register,"A list or file containing uniform information  about individual  persons, collected in  a systematic and comprehensive  way,  in order to serve a predetermined  purpose (130)."
Registry,"A collection of information about  individuals, usually focused  on a specific diagnosis or  conditions.  Registry data is stored in a database and  can provide health care providers and  researchers with  first-hand information  about people with specific  conditions,  both individually and as a  group, and  over  time. Patient registries are different  from health facility registers in that the  former collect patient information that  is disease- or  condition-specific whereas  the later collect information about the  patient regardless of their condition or  disease (130)."
Registration form,The registration form is the paper or  electronic format that is used to register a  vital event (131).
